날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
"	2025-05-01",108,14.7,11.3,17.6
"	2025-05-02",108,13.4,8.2,18.5
"	2025-05-03",108,11.2,9.5,14
"	2025-05-04",108,13.7,8.2,19.9
"	2025-05-05",108,12.1,9.3,15
"	2025-05-06",108,14.4,8.5,19.5
"	2025-05-07",108,14.9,9.9,21.1
"	2025-05-08",108,17.4,9.7,24.9
"	2025-05-09",108,15.1,14.1,17.4
"	2025-05-10",108,12.3,11.6,15.3
"	2025-05-11",108,14.7,11.4,20.2
"	2025-05-12",108,17,9.8,23.6
"	2025-05-13",108,19.9,13.3,25.8
"	2025-05-14",108,21,14.1,26.7
"	2025-05-15",108,19.5,16.8,22.2
"	2025-05-16",108,19.4,17.8,22
"	2025-05-17",108,18.3,14.7,24.3
"	2025-05-18",108,15.6,11.4,21
"	2025-05-19",108,16.1,10.5,20.9
"	2025-05-20",108,22.2,17.4,27.3
"	2025-05-21",108,25.5,22.3,30.8
"	2025-05-22",108,23.9,20,28.5
"	2025-05-23",108,19.4,15.4,22.2
"	2025-05-24",108,15.6,13,19.3
"	2025-05-25",108,17.4,11.7,22.6
"	2025-05-26",108,19.7,13,26.2
"	2025-05-27",108,20.8,14.7,27
"	2025-05-28",108,20.8,16.3,26.9
"	2025-05-29",108,21.2,15.3,27.3
"	2025-05-30",108,22.2,16.7,28.3
"	2025-05-31",108,21.5,16.4,27
"	",,,,
